,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
10,Hammer Of The Gods: The Led Zeppelin Saga,Stephen Davis,3.85,"11,831",465,NA,0,"Led Zeppelin was the hottest, hardest, horniest, most hedonistic group in rock history. Their parties defined 60s and 70s excess, their concerts were long, loud and thrilling. Based on interviews and behind-the-scenes stories, here is the truth behind the genius of Jimmy Page, Robert Plant, John Paul Jones, and the late John Bonham.",music
11,Shades of Jade (Strivers Row),Gloria Mallette,4.19,289,30,NA,0,"Terrance. Louis. Wayne. Eric. Marissa had been warned: One of these days you're gonna mess with the wrong woman's husband. But she doesn't care. Aside from an occasional bout of guilt, she feels no shame, because after all, if their wives were doing what they were supposed to, then their husbands would not be seeking her company.

Marissa dates married men - four of them co Terrance. Louis. Wayne. Eric. Marissa had been warned: One of these days you're gonna mess with the wrong woman's husband. But she doesn't care. Aside from an occasional bout of guilt, she feels no shame, because after all, if their wives were doing what they were supposed to, then their husbands would not be seeking her company.

Marissa dates married men - four of them concurrently because it's easier. She gets all of the trappings of a relationship - love, wining and dining, physical pleasure - without any of the pain - cooking, laundry, and the day-to-day maintenance of a relationship.

But when it appears that one of the wives of the men she is dating is out to get her - wants her dead, in fact - Marissa begins to reexamine the choices she's made. Her selfishness gives way to vulnerability and fear, and she comes to the conclusion that she deserves a man all her own. But will she survive long enough to find Mr. Right?


From the Trade Paperback edition.",cultural
12,,,NA,NA,NA,NA,0,,NA
13,Locke 1928,Shawna Yang Ryan,3.33,446,106,NA,0,"A mesmerizing story of a community of Chinese immigrants in a small California town in 1928, weaving history and mythology around the lives of the townspeople and the ghosts who haunt them

Locke, CA, 1928- Three bedraggled Chinese women suddenly appear out of the mist one afternoon in a small Chinese farming town on the Sacramento River, and their arrival throws the communi A mesmerizing story of a community of Chinese immigrants in a small California town in 1928, weaving history and mythology around the lives of the townspeople and the ghosts who haunt them

Locke, CA, 1928- Three bedraggled Chinese women suddenly appear out of the mist one afternoon in a small Chinese farming town on the Sacramento River, and their arrival throws the community into confusion. Two of the women are unknown to the townspeople, while the third is the long-lost wife of Richard Fong, the handsome manager of the local gambling parlor, who had left her behind in China many years earlier and had not yet returned for her.

Richard's wife's unexpected arrival complicates his life in no small way-not least with two prostitutes at the local brothel he frequents. One, the beautiful young Chloe, depends on him but has eyes for someone else, someone even more forbidden-the local preacher's daughter. The other, Poppy, the psychic madam of the brothel, is desperately in love with him, and she begins to sink into despair as he grows further and further away from her.

As the lives of the townspeople become inextricably intertwined with the newly arrived women, Poppy's premonitions begin to foretell a deep unhappiness for all involved. And when a flood threatens the livelihood of the entire town, the frightening power of these mysterious women who arrived in the mist will be revealed.

Shawna Yang Ryan's melodic first novel is a passionate, sophisticated intertwining of fact and fiction that examines mingling cultures, modern myths, and forgotten history. Locke 1928 beautifully chronicles separation and betrayal, loneliness and longing, and whathappens when a Chinese ghost story begins to come true.",historical
14,Perils of the Heart,Jennifer Ashley,3.56,326,23,NA,1,"Sent to seduce the captain of the merchantman Aurora, the English governess trembled in her innocence. Her stepbrotherâs life--and the life of the rugged sailor she must tempt--depended on her success. Evangeline swore to surrender her body, her virtue . . . anything Austin Blackwell demanded. But she never expected to relinquish her heart. On a mission for the American co Sent to seduce the captain of the merchantman Aurora, the English governess trembled in her innocence. Her stepbrotherâs life--and the life of the rugged sailor she must tempt--depended on her success. Evangeline swore to surrender her body, her virtue . . . anything Austin Blackwell demanded. But she never expected to relinquish her heart. On a mission for the American colonies, Austin suspected the timid temptress was a skilled spy ordered to sabotage his plans. She played the part of an untried miss to perfection, her inexperienced fumbling driving him wild with desire. But after sampling her sweetness, after one harrowing night fraught with passion and peril, the commander vowed to navigate any course to discover the truth. For his soul mutinied at the prospect of sailing into the future without the courageous lady by his side.",romance
15,The Literary Dog: Great Contemporary Dog Stories,Jeanne Schinto,3.31,16,4,NA,0,"The Literary Dog: Great Contemporary Dog Stories. A superlative collection of contemporary stories written by some of the most important writers of our time. These stories, selected by short-story writer Jeanne Schinto, are for lovers of good fiction - with a healthy side interest in dogs. The Literary Dog features good dogs, bad dogs, but only great fiction.",fiction
16,I Spit on Your Graves,Boris Vian Vernon Sullivan,3.60,"9,307",461,883,0,"Boris Vian was a novelist, jazz musician, jazz critic, poet, playwright, a friend of Miles Davis, Duke Ellington, Raymond Queneau, Jean Cocteau, Louis Malle, Jean Paul Sartre, and numerous others of forties and fifties Parisian cultural society. He was also a French translator of American hard-boiled crime novels. One of his discoveries was an African-American writer by th Boris Vian was a novelist, jazz musician, jazz critic, poet, playwright, a friend of Miles Davis, Duke Ellington, Raymond Queneau, Jean Cocteau, Louis Malle, Jean Paul Sartre, and numerous others of forties and fifties Parisian cultural society. He was also a French translator of American hard-boiled crime novels. One of his discoveries was an African-American writer by the name of Vernon Sullivan. Vian translated Sullivan's I Spit on Your Graves. The book is about a 'white Negro' who acts out an act of revenge against a small Southern town, in repayment for the death of his brother, who was lynched by an all white mob. Upon its release, I Spit on Your Graves became a bestseller in France, as well as a instruction manual for a copycat killer whose copy of I Spit on Your Graves was found by the murdered body of a prostitute with certain violent passages underlined. A censorship trail also came up where Sullivan as the author was held responsible for the material. It was later disclosed that Vian himself wrote the book and made up the identity of Vernon Sullivan!

This edition is a translation by Vian, that was never published in America. I Spit on Your Graves is an extremely violent sexy hard-boiled novel about racial and class prejudice, revenge, justice, and is itself a literary oddity due to the fact that it was written by a jazz-loving white Frenchman, who had never been to America.",fiction
17,,,NA,NA,NA,NA,0,,NA
18,Invisible Monsters,Chuck Palahniuk,3.97,"140,208","6,061",NA,0,"She's a catwalk model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden motor 'accident' leaves her disfigured and incapable of speech, she goes from being the beautiful centre of attention to being an invisible monster, so hideous that no one will acknowledge she exists.

Enter Brandy Alexander, Queen Supreme, one operation away from being a She's a catwalk model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden motor 'accident' leaves her disfigured and incapable of speech, she goes from being the beautiful centre of attention to being an invisible monster, so hideous that no one will acknowledge she exists.

Enter Brandy Alexander, Queen Supreme, one operation away from being a real woman, who will teach her that reinventing yourself means erasing your past and making up something better, and that salvation hides in the last place you'll ever want to look.

The narrator must exact revenge upon Evie, her best friend and fellow model; kidnap Manus, her two-timing ex-boyfriend; and hit the road with Brandy in search of a brand-new past, present and future.",fiction
19,Swan,Naomi Campbell,2.64,152,22,NA,0,"Swan Ã¨ la piÃ¹ bella, la piÃ¹ elegante e la piÃ¹ contesa delle top model. A soli 26 anni ha avuto tutto quello che una donna puÃ² desiderare dalla vita e lo deve solo a se stessa. Ora perÃ² ha capito che Ã¨ il momento di lasciare la passerella per sposare l'uomo che ama, ma proprio quando sta per scatenarsi la lotta tra le ragazze che vogliono ottenere il suo posto, un uomo, ros Swan Ã¨ la piÃ¹ bella, la piÃ¹ elegante e la piÃ¹ contesa delle top model. A soli 26 anni ha avuto tutto quello che una donna puÃ² desiderare dalla vita e lo deve solo a se stessa. Ora perÃ² ha capito che Ã¨ il momento di lasciare la passerella per sposare l'uomo che ama, ma proprio quando sta per scatenarsi la lotta tra le ragazze che vogliono ottenere il suo posto, un uomo, roso da una crudele ambizione, imbastisce una pericolosa trama e Swan rischierÃ  di perdere tutto quello che ha faticosamente conquistato.",womens-fiction
20,,,NA,NA,NA,NA,0,,NA
21,,,NA,NA,NA,NA,0,,NA
22,Signature in the Cell: DNA and the Evidence for Intelligent Design,Stephen C. Meyer,4.31,"1,406",155,NA,0,"âSignature in the Cell is a defining work in the discussion of lifeâs origins and the question of whether life is a product of unthinking matter or of an intelligent mind. For those who disagree with ID, the powerful case Meyer presents cannot be ignored in any honest debate. For those who may be sympathetic to ID, on the fence, or merely curious, this book is an engaging, âSignature in the Cell is a defining work in the discussion of lifeâs origins and the question of whether life is a product of unthinking matter or of an intelligent mind. For those who disagree with ID, the powerful case Meyer presents cannot be ignored in any honest debate. For those who may be sympathetic to ID, on the fence, or merely curious, this book is an engaging, eye-opening, and often eye-popping readâ â American Spectator

Named one of the top books of 2009 by the Times Literary Supplement (London), this controversial and compelling book from Dr. Stephen C. Meyer presents a convincing new case for intelligent design (ID), based on revolutionary discoveries in science and DNA. Along the way, Meyer argues that Charles Darwinâs theory of evolution as expounded in The Origin of Species did not, in fact, refute ID. If you enjoyed Francis Collinsâs The Language of God, youâll find much to ponderâabout evolution, DNA, and intelligent designâin Signature in the Cell.",science
23,A Crack in the Edge of the World,Simon Winchester,3.79,"6,571",705,739,0,"The international bestselling author ofÂ The Professor and the MadmanÂ andÂ KrakatoaÂ vividly brings to life the 1906 San Francisco Earthquake that leveled a city symbolic of America's relentless western expansion. Simon Winchester has also fashioned an enthralling and informative informative look at the tumultuous subterranean world that produces earthquakes, the planet's mos The international bestselling author ofÂ The Professor and the MadmanÂ andÂ KrakatoaÂ vividly brings to life the 1906 San Francisco Earthquake that leveled a city symbolic of America's relentless western expansion. Simon Winchester has also fashioned an enthralling and informative informative look at the tumultuous subterranean world that produces earthquakes, the planet's most sudden and destructive force.

In the early morning hours of April 18, 1906, San Francisco and a string of towns to its north-northwest and the south-southeast were overcome by an enormous shaking that was compounded by the violent shocks of an earthquake, registering 8.25 on the Richter scale. The quake resulted from a rupture in a part of the San Andreas fault, which lies underneath the earth's surface along the northern coast of California. Lasting little more than a minute, the earthquake wrecked 490 blocks, toppled a total of 25,000 buildings, broke open gas mains, cut off electric power lines throughout the Bay area, and effectively destroyed the gold rush capital that had stood there for a half century.

Perhaps more significant than the tremors and rumbling, which affected a swatch of California more than 200 miles long, were the fires that took over the city for three days, leaving chaos and horror in its wake. The human tragedy included the deaths of upwards of 700 people, with more than 250,000 left homeless. It was perhaps the worst natural disaster in the history of the United States.

Simon WinchesterÂ brings his inimitable storytelling abilities -- as well as his unique understanding of geology -- to this extraordinary event, exploring not only what happened in northern California in 1906 but what we have learned since about the geological underpinnings that caused the earthquake in the first place. But his achievement is even greater: he positions the quake's significance along the earth's geological timeline and shows the effect it had on the rest of twentieth-century California and American history.

A Crack in the Edge of the WorldÂ is the definitive account of the San Francisco earthquake. It is also a fascinating exploration of a legendary event that changed the way we look at the planet on which we live.",history
24,Pure,Rebbecca Ray,2.90,"1,864",181,NA,0,"A sensational and accomplished novel that made its young author one of the most talked about in Britain last year, Pure is about fourteen -- the age when you know everything, except when you don't know anything. It's about first love and the end of innocence in all its passion and absurdity. It's about the raw transition between loving your parents as a child and understan A sensational and accomplished novel that made its young author one of the most talked about in Britain last year, Pure is about fourteen -- the age when you know everything, except when you don't know anything. It's about first love and the end of innocence in all its passion and absurdity. It's about the raw transition between loving your parents as a child and understanding them as an adult. It's about the cool friend for whom everything seems effortless, and the impossibly embarrassing friend you're nice to when your cool friends can't see. It's about the struggle between desire and duty, and about a chance meeting with a twenty-seven-year-old man. And it's about what happens after. Pure has the shocking immediacy that made Less Than Zero so indelible. It evokes the brutalities of adolescence with the lucidity of Two Girls, Fat and Thin. It is sure to establish its author as one of the most remarkable and fearless young writers to emerge in recent years.",fiction
25,Heroes of the Valley,Jonathan Stroud,3.44,"5,252",701,984,2,"Halli Sveinsson has grown up in the House of Svein, listening to the legends of the heroes as all his forefathers did. His is a peaceful society where the violence of the past has been outlawed and disputes are settled by the Council.",fantasy
26,The Scorpion's Sweet Venom: The Diary of a Brazilian Call Girl,Bruna Surfistinha Alison Entrekin Jorge Tarquini,2.75,888,54,NA,0,"""If I'm going to be a prostitute, I refuse to be an ordinary one.""

Known to her clients as ""Bruna the Surfer Girl,"" Surfistinha is the beautiful 17-year-old Brazilian run-away from a middle class family who detailed online her three years working as a prostitute in a posh Brazilian suburb. Her candid and explicit entries on life as a high-class call girl caught the attenti ""If I'm going to be a prostitute, I refuse to be an ordinary one.""

Known to her clients as ""Bruna the Surfer Girl,"" Surfistinha is the beautiful 17-year-old Brazilian run-away from a middle class family who detailed online her three years working as a prostitute in a posh Brazilian suburb. Her candid and explicit entries on life as a high-class call girl caught the attention of millions and set off a vigorous national debate about sexual identity, values, and practices. As a result, Bruna became an immediate celebrity, the Paris Hilton of Brazil. Here, in The Scorpion's Sweet Venom, she draws back the sheets to reveal the whole story. Bruna writes passionately about her estranged family, her out-of-control drug use, her unbridled sexuality, and her unusual adventures in the world's oldest profession. ""I have seen and done everything,"" she confesses. ""There is nothing left that scares me.""

Part memoir, part cautionary tale, part sex guide, Bruna brings to life the raw, desperate and dangerous underbelly of the Brazilian sex trade, and shares outrageous advice for the bedroom, like what men really want but are too afraid to ask. Provocative, seductive and unforgettable, The Scorpion's Sweet Venom is the vivid account of a young girl's life on the street, and a fearless expression of human sexuality.",non-fiction
27,Dirty White,Brian Freemantle,3.40,5,1,NA,0,"When his son is caught trafficking cocaine, a successful financial advisor swears to take down the Colombian drug lords who sold it to himWalter Farr has done well for himself. One of the top investment counselors in New York, he has earned a fortune and amassed everything he could ever want, except a close relationship with his son, Howard. When the boy's mother died, Wal When his son is caught trafficking cocaine, a successful financial advisor swears to take down the Colombian drug lords who sold it to himWalter Farr has done well for himself. One of the top investment counselors in New York, he has earned a fortune and amassed everything he could ever want, except a close relationship with his son, Howard. When the boy's mother died, Walter did what he could for their child, but each year Howard pulled further and further away. Even so, Walter never expected something like this. Howard has been arrested for importing cocaine. The charge is not trivial--Howard's crime could put him away for life--and to get him out of it Walter will do the unthinkable. He'll join the FBI to go after the dangerous Colombians who sold Howard the drugs in the first place. It's a gamble that could prove fatal, but Walter Farr will never fail his son again. This ebook features an illustrated biography of Brian Freemantle including rare photos from the author's personal collection.",NA
28,Personal Best 1: A Going for the Gold Novel,Sean Michael,3.53,268,22,061,0,"Mike Gauliet could be a world class swimmer if he took care of himself better. He's too good to let go, so his team coach calls in a private trainer, up-and-coming hardass Jessy Turner. Jessy locks Mike down, putting him on a strict regimen of diet and exercise that Mike resents a lot until he finds himself becoming a better swimmer for it. Jessy finds Mike all but irresis Mike Gauliet could be a world class swimmer if he took care of himself better. He's too good to let go, so his team coach calls in a private trainer, up-and-coming hardass Jessy Turner. Jessy locks Mike down, putting him on a strict regimen of diet and exercise that Mike resents a lot until he finds himself becoming a better swimmer for it. Jessy finds Mike all but irresistible, but he stays away to begin with, making decisions based on what's best for Mike's career. The two of them resist their attraction to each other for as long as they can, but sooner or later they have to give into the heat between them. When things go wrong, though, can they, and their sports careers, survive the strain? CB Potts, author of Tuesday's Rubies, says, (Sean) Michael is to be commended. Fans of sports smut, such as myself, are sure to be pleased with the mix of athleticism and eroticism, and romance fans will love the emotional heights and depths the couple journey through. Pick up this hot, athletic romance today! And look for Personal Best II, a Going for the Gold novel, on shelves next to Personal Best!",romance
29,Algeny: A New Word--A New World,Jeremy Rifkin,3.16,37,3,NA,0,,science
30,Washington Square,Henry James,3.69,"19,881","1,613",160,0,"The plot of Washington Square has the simplicity of old-fashioned melodrama: a plain-looking, good-hearted young woman, the only child of a rich widower, is pursued by a charming but unscrupulous man who seeks the wealth she will presumably inherit. On this premise, Henry James constructed one of his most memorable novels, a story in which love is answered with betrayal an The plot of Washington Square has the simplicity of old-fashioned melodrama: a plain-looking, good-hearted young woman, the only child of a rich widower, is pursued by a charming but unscrupulous man who seeks the wealth she will presumably inherit. On this premise, Henry James constructed one of his most memorable novels, a story in which love is answered with betrayal and loyalty leads inexorably to despair.""
-- from the Introduction by Peter Conn
In Washington Square (1880), Henry James reminisces about the New York he had known thirty years before as he tells the story of Catherine Sloper and her fortune-seeking suitor Morris Townsend. This perceptively drawn human drama is James' most accessible work and an enduring literary triumph.
Washington Square Press' Enriched Classics present the great works of world literature enhanced for the contemporary reader. This edition of Washington Square has been prepared by Peter Conn, Andrea Mitchell Professor of English at the University of Pennsylvania. It includes his introduction, notes, selection of critical excerpts, and suggestions for further reading as well as a unique visual essay of period illustrations and photographs.",classics
31,Middlemarch,George Eliot Michel Faber Doreen Roberts,3.99,"144,249","8,677",186,0,"Taking place in the years leading up to the First Reform Bill of 1832, Middlemarch explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but naive; Rosamond Vincy, beautiful a Taking place in the years leading up to the First Reform Bill of 1832, Middlemarch explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but naive; Rosamond Vincy, beautiful and egoistic: Edward Casaubon, the dry-as-dust scholar: Tertius Lydgate, the brilliant but morally-flawed physician: the passionate artist Will Ladislaw: and Fred Vincey and Mary Garth, childhood sweethearts whose charming courtship is one of the many humorous elements in the novel's rich comic vein.",classics
32,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,4.04,"52,470","3,528",053,1,"Every schoolchild learns about the mutually beneficial dance of honeybees and flowers: The bee collects nectar and pollen to make honey and, in the process, spreads the flowersâ genes far and wide. In The Botany of Desire, Michael Pollan ingeniously demonstrates how people and domesticated plants have formed a similarly reciprocal relationship. He masterfully links four fu Every schoolchild learns about the mutually beneficial dance of honeybees and flowers: The bee collects nectar and pollen to make honey and, in the process, spreads the flowersâ genes far and wide. In The Botany of Desire, Michael Pollan ingeniously demonstrates how people and domesticated plants have formed a similarly reciprocal relationship. He masterfully links four fundamental human desiresâsweetness, beauty, intoxication, and controlâwith the plants that satisfy them: the apple, the tulip, marijuana, and the potato. In telling the stories of four familiar species, Pollan illustrates how the plants have evolved to satisfy humankindâs most basic yearnings. And just as weâve benefited from these plants, we have also done well by them. So who is really domesticating whom?",non-fiction
